ATS.Ac.mean,Par.Ac.mean,ATS_Ac.vs.Par_Ac.log.2,ATS_Ac.vs.Par_Ac_adj_p,Rxn
701.779926847288,1941.63630642461,-1.46818240288979,0.00286832894387883,r_0075
2207.32642275183,8014.33291334887,-1.86028244689112,0.0201250932675041,r_0108
293.149857383782,824.326702721273,-1.49157787450848,0.00300160791440303,r_0139
2757.52935797279,6386.18443099738,-1.21157797257064,0.0247404880713277,r_0144
627.63366319834,2091.20369343668,-1.73633895570766,0.00674848356689348,r_0145
3903.98107001052,10172.6015245117,-1.38167071630091,0.0228931351881078,r_0214
3903.98107001052,10172.6015245117,-1.38167071630091,0.0228931351881078,r_0250
563.802718183745,1553.56827983716,-1.46232331127201,0.00538612529428975,r_0306
563.802718183745,1553.56827983716,-1.46232331127201,0.00538612529428975,r_0307
388.550068549179,917.588890045598,-1.23974740739317,0.00459676453991201,r_0349
1396.15466062506,3584.92931437376,-1.36048590636679,0.0236264546523909,r_0446
1396.15466062506,3584.92931437376,-1.36048590636679,0.0236264546523909,r_0447
64.3149101871262,457.810921523019,-2.83152673737996,0.00483042008388874,r_0458
171.367325383454,595.594590914965,-1.79723859474184,0.00396448974241177,r_0459
5479.45295886189,26814.0998784488,-2.29088805035571,0.00502860510374022,r_0471
827.860386843759,1958.64555185041,-1.24239695013663,0.0162293278535884,r_0514
390.12577494518,1156.08568658081,-1.5672371082233,0.00504258245526135,r_0548
1021.2737169167,2348.64173943043,-1.20145707990052,0.00776832877579432,r_0555
1396.15466062506,3584.92931437376,-1.36048590636679,0.0236264546523909,r_0724
1396.15466062506,3584.92931437376,-1.36048590636679,0.0236264546523909,r_0725
3307.72198547325,8165.2820011181,-1.30366473156475,0.0114726087542847,r_0726
1396.15466062506,3584.92931437376,-1.36048590636679,0.0236264546523909,r_0732
1396.15466062506,3584.92931437376,-1.36048590636679,0.0236264546523909,r_0733
1209.64360302517,3352.81076480343,-1.4707890093741,0.00135513254084387,r_0773
701.779926847288,1941.63630642461,-1.46818240288979,0.00286832894387883,r_0943
2037.62520186046,5122.10008743358,-1.32984673547212,0.00412242153436268,r_0962
673.229243767079,2029.18913514149,-1.59173358999663,0.00197269670559942,r_1070
171.367325383454,595.594590914965,-1.79723859474184,0.00396448974241177,r_1071
8359.08112504995,21901.8824497735,-1.38963860630115,0.0086241345283886,r_1093
921.294167018185,3836.89374049568,-2.05820502722968,0.00121595904089728,r_1115
3403.33065593157,11569.5311069559,-1.76531116517444,0.00872918994791583,r_2140
3403.33065593157,11569.5311069559,-1.76531116517444,0.00872918994791583,r_2141
64.3149101871262,457.810921523019,-2.83152673737996,0.00483042008388874,r_4222
4749.17325933083,18073.8447044403,-1.92815513715981,0.00860768654483681,y300040
