ATS.Wo.mean,Par.Wo.mean,ATS_wo.vs.Par_wo.log.2,ATS_wo.vs.Par_wo_adj_p,Rxn
1808.47407728114,4403.98198816179,-1.28403564992828,0.000556295917827022,r_0016
21632.1897176283,60751.1465786336,-1.48973192804168,0.000556295917827022,r_0028
1087.94330350946,2988.19614088392,-1.45767147294042,0.00512329173611361,r_0063
7058.40518139261,21421.5539877381,-1.60164898735974,0.00371038120971325,r_0096
1808.47407728114,4403.98198816179,-1.28403564992828,0.000556295917827022,r_0097
2530.75136308254,10668.2871118673,-2.07569087717274,0.0109750958163837,r_0108
3704.51146364852,10176.1838881537,-1.45784144284975,0.00303828401559351,r_0144
1223.21409953033,3898.80243261133,-1.6723541083418,0.00147672761359669,r_0145
10011.1950074468,26358.4226652897,-1.39664984470686,0.000404564139677869,r_0154
5724.99262822059,13831.7679425797,-1.27263982936926,0.00345131969176074,r_0208
2462.11826528796,6013.36464267162,-1.2882723825107,0.000958954094073978,r_0211
7661.93440347163,32199.7417561341,-2.07126853838011,0.00137566681215275,r_0214
1647.48546680743,4080.24298329767,-1.30838933030865,0.00444140647597842,r_0219
3020.12512976247,7941.70282841217,-1.3948400529832,0.000981848249461179,r_0233
1117.89211686914,3774.24675098836,-1.75540777949707,0.00145346785475191,r_0242
2452.52943739145,8553.85204995843,-1.80230380110618,0.00228366868847779,r_0244
7661.93440347163,32199.7417561341,-2.07126853838011,0.00137566681215275,r_0250
21632.1897176283,60751.1465786336,-1.48973192804168,0.000556295917827022,r_0300
21632.1897176283,60751.1465786336,-1.48973192804168,0.000556295917827022,r_0301
1199.81635741009,3380.03003789603,-1.49422246221792,0.000614595930014493,r_0306
1199.81635741009,3380.03003789603,-1.49422246221792,0.000614595930014493,r_0307
257.180973285148,734.399810213561,-1.51378177250685,0.00384808365657256,r_0331
3304.44823399582,11172.962114829,-1.75753041554185,0.00137566681215275,r_0446
3304.44823399582,11172.962114829,-1.75753041554185,0.00137566681215275,r_0447
83.5508362992562,408.33766101155,-2.2890364594875,0.00117800790608964,r_0458
296.179022123081,685.111167256382,-1.2098686406105,0.000706386276610273,r_0459
4613.05816477408,25742.6414155644,-2.48036470585213,0.000614595930014493,r_0471
1126.68655864196,2939.28120761229,-1.38337717424901,0.015764152358231,r_0488
4577.25221644935,13725.8788536972,-1.58434483160209,0.0081197278896226,r_0490
7796.40797106148,18645.3443857172,-1.25793395326977,0.00463556102808799,r_0502
7796.40797106148,18645.3443857172,-1.25793395326977,0.00463556102808799,r_0503
1590.89679818105,5544.49006520079,-1.80121452896588,0.00306366387366659,r_0514
1725.64124097949,4801.62947630906,-1.47639151962114,0.00463556102808799,r_0531
1752.56478094333,4167.1420423875,-1.24959050469958,0.000614595930014493,r_0539
1752.56478094333,4167.1420423875,-1.24959050469958,0.000614595930014493,r_0540
458.809506145662,1459.92323273025,-1.66992532154206,0.00976990837596213,r_0541
1559.35604474327,3672.60678012888,-1.2358540639806,0.00444140647597842,r_0558
6196.318108005,17404.6281250521,-1.48998787258203,0.00526571986303903,r_0565
7058.40518139261,21421.5539877381,-1.60164898735974,0.00371038120971325,r_0669
1220.32714702711,3154.66669665639,-1.37021962730597,0.00275655699186358,r_0693
6829.53741847486,20640.6109618935,-1.59562590553281,0.000614595930014493,r_0718
6829.53741847486,20640.6109618935,-1.59562590553281,0.000614595930014493,r_0719
3304.44823399582,11172.962114829,-1.75753041554185,0.00137566681215275,r_0724
3304.44823399582,11172.962114829,-1.75753041554185,0.00137566681215275,r_0725
5329.46664592829,15471.0391251549,-1.53750703431716,0.000556295917827022,r_0726
3304.44823399582,11172.962114829,-1.75753041554185,0.00137566681215275,r_0732
3304.44823399582,11172.962114829,-1.75753041554185,0.00137566681215275,r_0733
1028.02615111346,3252.48571517711,-1.66166575614865,0.000680402989942317,r_0915
1044.36205007131,2497.78578120554,-1.25802781250688,0.000396450343919674,r_0916
1981.57654376367,4883.35612262408,-1.30122429510599,0.000566937148347756,r_0962
10011.1950074468,26358.4226652897,-1.39664984470686,0.000404564139677869,r_1025
296.179022123081,685.111167256382,-1.2098686406105,0.000706386276610273,r_1071
10656.3907939782,47371.6923905807,-2.15230631885762,0.000556295917827022,r_1101
1213.43132842647,3812.65659285216,-1.65170412839926,0.000396450343919674,r_1112
1005.61855115373,2471.2927489476,-1.29718275297479,0.0011451536844525,r_1115
10656.3907939782,47371.6923905807,-2.15230631885762,0.000556295917827022,r_1173
15161.6010971759,58043.9669523211,-1.93672400900609,0.00442606729352371,r_1178
10656.3907939782,47371.6923905807,-2.15230631885762,0.000556295917827022,r_1183
10656.3907939782,47371.6923905807,-2.15230631885762,0.000556295917827022,r_1184
10656.3907939782,47371.6923905807,-2.15230631885762,0.000556295917827022,r_1186
10656.3907939782,47371.6923905807,-2.15230631885762,0.000556295917827022,r_1190
9063.26334926502,44915.8654553644,-2.30912262192849,0.00118707842034715,r_1191
10656.3907939782,47371.6923905807,-2.15230631885762,0.000556295917827022,r_1192
10656.3907939782,47371.6923905807,-2.15230631885762,0.000556295917827022,r_1196
10656.3907939782,47371.6923905807,-2.15230631885762,0.000556295917827022,r_1199
10656.3907939782,47371.6923905807,-2.15230631885762,0.000556295917827022,r_1201
10656.3907939782,47371.6923905807,-2.15230631885762,0.000556295917827022,r_1205
10656.3907939782,47371.6923905807,-2.15230631885762,0.000556295917827022,r_1211
10656.3907939782,47371.6923905807,-2.15230631885762,0.000556295917827022,r_1213
10656.3907939782,47371.6923905807,-2.15230631885762,0.000556295917827022,r_1214
10656.3907939782,47371.6923905807,-2.15230631885762,0.000556295917827022,r_1215
10656.3907939782,47371.6923905807,-2.15230631885762,0.000556295917827022,r_1216
14848.7667896226,51044.035406718,-1.78139927106746,0.00121100186434941,r_1217
10656.3907939782,47371.6923905807,-2.15230631885762,0.000556295917827022,r_1218
10656.3907939782,47371.6923905807,-2.15230631885762,0.000556295917827022,r_1219
10656.3907939782,47371.6923905807,-2.15230631885762,0.000556295917827022,r_1223
10656.3907939782,47371.6923905807,-2.15230631885762,0.000556295917827022,r_1224
10656.3907939782,47371.6923905807,-2.15230631885762,0.000556295917827022,r_1238
73957.2067246745,261057.446836052,-1.81960467108559,0.00868786878767605,r_1251
73957.2067246745,261057.446836052,-1.81960467108559,0.00868786878767605,r_1252
9555.80855147161,46301.3001105555,-2.27660284888005,0.000577500081970801,r_1255
9555.80855147161,46301.3001105555,-2.27660284888005,0.000577500081970801,r_1257
84613.5975186528,308429.139226633,-1.86597764198329,0.00635438115066699,r_1260
73957.2067246745,261057.446836052,-1.81960467108559,0.00868786878767605,r_1261
73957.2067246745,261057.446836052,-1.81960467108559,0.00868786878767605,r_1262
73957.2067246745,261057.446836052,-1.81960467108559,0.00868786878767605,r_1263
2134.42167783343,5047.70759325635,-1.24178311524814,0.000556295917827022,r_1270
211.703678334236,557.189410843538,-1.39612150409898,0.00615557557705828,r_1729
3046.57031045032,13232.9804223654,-2.11888009068565,0.0071743833540297,r_2140
3046.57031045032,13232.9804223654,-2.11888009068565,0.0071743833540297,r_2141
1247.75078871679,2913.11294631267,-1.22323182250497,0.000614595930014493,r_3094
1247.75078871679,2913.11294631267,-1.22323182250497,0.000614595930014493,r_3096
1220.32714702711,3154.66669665639,-1.37021962730597,0.00275655699186358,r_4206
83.5508362992562,408.33766101155,-2.2890364594875,0.00117800790608964,r_4222
2543.78279493088,13790.7798921107,-2.43865665191283,0.00489442452974424,r_4275
2543.78279493088,13790.7798921107,-2.43865665191283,0.00489442452974424,r_4276
6829.53741847486,20640.6109618935,-1.59562590553281,0.000614595930014493,t_0027
1247.75078871679,2913.11294631267,-1.22323182250497,0.000614595930014493,t_0481
1247.75078871679,2913.11294631267,-1.22323182250497,0.000614595930014493,t_0484
1247.75078871679,2913.11294631267,-1.22323182250497,0.000614595930014493,t_1245
1247.75078871679,2913.11294631267,-1.22323182250497,0.000614595930014493,t_1246
41971.0252463028,241500.588843031,-2.52456109657323,0.00615557557705828,y300059
1220.32714702711,3154.66669665639,-1.37021962730597,0.00275655699186358,y300067
